date,us,indonesia,philippines,malaysia,thailand,vix_index
03/01/2008,-1.1,0.8,4.6,-6.55,-6.9,22.49
04/01/2008,-2.7,-1.8,-1.7,-6.55,10.4,23.94
07/01/2008,-3.4,0.6,1.7,-6.55,4.2,23.79
08/01/2008,-4.9,-18.5,-2.4,-6.55,-4.4,25.43
09/01/2008,3.9,-1.6,-7.3,-2.15,-6,24.12
14/01/2008,-5.6,-6,-28.2,-2.15,-17.9,22.9
15/01/2008,-9,-1.8,1.5,-2.15,2.1,23.34
16/01/2008,5.9,3.2,-0.1,-2.15,-12.2,24.38
17/01/2008,-11.3,0.4,1.1,-2.15,2.4,28.46
18/01/2008,0.9,-1,-9,-2.15,0.5,27.18
21/01/2008,0,-0.9,15.2,-4.48,1.3,27.18
22/01/2008,-19.7,4.6,2.3,-4.48,-11,31.01
23/01/2008,16.5,7.1,-1.8,-4.48,-23,29.02
24/01/2008,10.4,-6.3,-10.7,-4.47,-10,27.78
25/01/2008,-15.3,1.5,-7,1.04,9.8,29.08
28/01/2008,3.1,-0.4,-1.9,1.04,-1.3,27.78
29/01/2008,9.7,-0.6,-7.5,1.04,-14.9,27.32
30/01/2008,-1.2,-0.3,5.6,1.04,3.3,27.62
31/01/2008,-7.2,-0.1,-0.4,1.04,3.2,26.2
01/02/2008,-0.1,1,0,1.04,-1.4,24.02
04/02/2008,5.2,2.1,5.6,1.04,10.6,25.99
05/02/2008,-7.4,0.2,20.2,1.04,3,28.24
06/02/2008,1.8,1.4,8.1,1.04,-3.2,28.97
11/02/2008,2.6,6.5,26.5,-1.85,-26,27.6
12/02/2008,4.4,0.7,-1.4,-1.85,6,26.33
13/02/2008,7,2.1,19.5,4.05,7.5,24.88
14/02/2008,8.8,2,9.8,4.05,7.1,25.54
15/02/2008,-4.8,3.6,-6,-0.6,1.3,25.02
18/02/2008,0,-1.4,-11.1,-0.6,-0.1,25.02
19/02/2008,12.8,1.4,-5.4,-0.05,4.9,25.59
20/02/2008,-0.6,-2,14,-0.05,10.4,24.4
21/02/2008,-11.9,5,4.4,-0.27,0,25.12
22/02/2008,3,3.3,-2.1,-0.27,0,24.06
