year,country_code,country,indicator,value
2005,COL,Colombia,Government expenditure (% of GDP),25.889331153268
2005,COL,Colombia,Government revenue (% of GDP),25.868559962026
2005,COL,Colombia,Gross public debt (% of GDP),38.532495443299
2005,COL,Colombia,Interest on public debt (% of GDP),3.3498396517293
2005,COL,Colombia,Primary balance (% of GDP),3.3290684604868
2005,COL,Colombia,Primary expenditure (% of GDP),22.539491501539
2005,COL,Colombia,Real GDP growth rate (%),4.4470636923551
2006,COL,Colombia,Government expenditure (% of GDP),28.441089121376
2006,COL,Colombia,Government revenue (% of GDP),27.448440741205
2006,COL,Colombia,Gross public debt (% of GDP),35.969081886833
2006,COL,Colombia,Interest on public debt (% of GDP),3.8943187701084
2006,COL,Colombia,Primary balance (% of GDP),2.901670389938
2006,COL,Colombia,Primary expenditure (% of GDP),24.546770351267
2006,COL,Colombia,Real GDP growth rate (%),6.7170629286418
2007,COL,Colombia,Government expenditure (% of GDP),28.162298960601
2007,COL,Colombia,Government revenue (% of GDP),27.342520042034
2007,COL,Colombia,Gross public debt (% of GDP),32.663327450914
2007,COL,Colombia,Interest on public debt (% of GDP),4.0814920626615
2007,COL,Colombia,Primary balance (% of GDP),3.2617131440944
2007,COL,Colombia,Primary expenditure (% of GDP),24.080806897939
2007,COL,Colombia,Real GDP growth rate (%),6.7380004222512
2008,COL,Colombia,Government expenditure (% of GDP),28.428792812302
2008,COL,Colombia,Government revenue (% of GDP),28.470610484737
2008,COL,Colombia,Gross public debt (% of GDP),32.382419070311
2008,COL,Colombia,Interest on public debt (% of GDP),3.4868579865666
2008,COL,Colombia,Primary balance (% of GDP),3.528675659002
2008,COL,Colombia,Primary expenditure (% of GDP),24.941934825735
2008,COL,Colombia,Real GDP growth rate (%),3.2834461861654
2009,COL,Colombia,Government expenditure (% of GDP),30.91421701983
2009,COL,Colombia,Government revenue (% of GDP),28.240169675256
2009,COL,Colombia,Gross public debt (% of GDP),35.386764233322
2009,COL,Colombia,Interest on public debt (% of GDP),3.3229691387662
2009,COL,Colombia,Primary balance (% of GDP),0.64892179419172
2009,COL,Colombia,Primary expenditure (% of GDP),27.591247881064
2009,COL,Colombia,Real GDP growth rate (%),1.1396486454806
2010,COL,Colombia,Government expenditure (% of GDP),30.350281511957
2010,COL,Colombia,Government revenue (% of GDP),27.047502144095
2010,COL,Colombia,Gross public debt (% of GDP),36.497106858327
2010,COL,Colombia,Interest on public debt (% of GDP),2.9881166902223
2010,COL,Colombia,Primary balance (% of GDP),-0.31466267763951
2010,COL,Colombia,Primary expenditure (% of GDP),27.362164821735
2010,COL,Colombia,Real GDP growth rate (%),4.4948222051007
2011,COL,Colombia,Government expenditure (% of GDP),30.233366332101
2011,COL,Colombia,Government revenue (% of GDP),28.240387873111
2011,COL,Colombia,Gross public debt (% of GDP),35.783448826201
2011,COL,Colombia,Interest on public debt (% of GDP),2.9686927096256
2011,COL,Colombia,Primary balance (% of GDP),0.97571425063592
2011,COL,Colombia,Primary expenditure (% of GDP),27.264673622475
2011,COL,Colombia,Real GDP growth rate (%),6.9478919817356
2012,COL,Colombia,Government expenditure (% of GDP),29.092597341547
2012,COL,Colombia,Government revenue (% of GDP),29.247380991593
2012,COL,Colombia,Gross public debt (% of GDP),33.966577733391
2012,COL,Colombia,Interest on public debt (% of GDP),2.7964892115202
2012,COL,Colombia,Primary balance (% of GDP),2.9512728615656
2012,COL,Colombia,Primary expenditure (% of GDP),26.296108130027
2012,COL,Colombia,Real GDP growth rate (%),3.9126357671611
2013,COL,Colombia,Government expenditure (% of GDP),29.998403880549
2013,COL,Colombia,Government revenue (% of GDP),28.977659381688
2013,COL,Colombia,Gross public debt (% of GDP),37.592310994829
2013,COL,Colombia,Interest on public debt (% of GDP),2.4931806660248
2013,COL,Colombia,Primary balance (% of GDP),1.4724361671631
2013,COL,Colombia,Primary expenditure (% of GDP),27.505223214525
2013,COL,Colombia,Real GDP growth rate (%),5.1338529550263
2014,COL,Colombia,Government expenditure (% of GDP),31.261244860082
2014,COL,Colombia,Government revenue (% of GDP),29.517165544966
2014,COL,Colombia,Gross public debt (% of GDP),43.318893750054
2014,COL,Colombia,Interest on public debt (% of GDP),2.6930379114677
2014,COL,Colombia,Primary balance (% of GDP),0.94895859635141
2014,COL,Colombia,Primary expenditure (% of GDP),28.568206948614
2014,COL,Colombia,Real GDP growth rate (%),4.499169717276
2015,COL,Colombia,Government expenditure (% of GDP),31.277350550365
2015,COL,Colombia,Government revenue (% of GDP),27.757127825676
2015,COL,Colombia,Gross public debt (% of GDP),50.419035390797
2015,COL,Colombia,Interest on public debt (% of GDP),2.8163985077191
2015,COL,Colombia,Primary balance (% of GDP),-0.70382421697078
2015,COL,Colombia,Primary expenditure (% of GDP),28.460952042646
2015,COL,Colombia,Real GDP growth rate (%),2.9560293197576
2016,COL,Colombia,Government expenditure (% of GDP),29.99362285003
